Round,System_Average,System_Variance,Standard_Deviation
1,5.733333333333333,9.20952380952381,3.0347197250362035
2,5.866666666666666,8.552380952380952,2.9244454093692624
3,5.933333333333334,8.923809523809522,2.9872745979922106
4,5.8,9.6,3.0983866769659336
5,6.066666666666666,9.638095238095236,3.1045281828476345
6,6.066666666666666,9.638095238095236,3.1045281828476345
7,5.933333333333334,9.066666666666666,3.011090610836324
8,6.2,9.6,3.0983866769659336
9,6.066666666666666,9.638095238095236,3.1045281828476345
10,5.866666666666666,10.266666666666666,3.204163957519444
