Round,System_Average,System_Variance,Standard_Deviation
1,5.466666666666667,10.123809523809525,3.181793444554427
2,5.666666666666667,6.238095238095239,2.4976179127511156
3,5.733333333333333,6.78095238095238,2.6040261866871424
4,5.133333333333334,9.123809523809523,3.020564437950219
5,5.266666666666667,8.638095238095238,2.9390636669006063
6,5.2,9.742857142857142,3.1213550171131033
7,5.2,9.171428571428569,3.0284366546831665
8,5.333333333333333,9.95238095238095,3.1547394428670255
9,5.266666666666667,9.209523809523807,3.034719725036203
10,5.266666666666667,10.066666666666665,3.172801075810878
