Round,System_Average,System_Variance,Standard_Deviation
1,5.133333333333334,8.695238095238096,2.948768911806772
2,5.266666666666667,8.352380952380953,2.8900486072695997
3,5.133333333333334,7.552380952380952,2.7481595573002946
4,5.266666666666667,8.066666666666666,2.840187787218772
5,5.333333333333333,8.095238095238097,2.8452131897694586
6,5.466666666666667,8.123809523809525,2.850229731760148
7,5.4,7.971428571428572,2.8233718443429607
8,5.4,7.828571428571431,2.797958439393164
9,5.333333333333333,7.380952380952382,2.716790823923031
10,5.6,8.4,2.898275349237888
