Round,System_Average,System_Variance,Standard_Deviation
1,5.466666666666667,8.409523809523808,2.8999178970315365
2,5.466666666666667,8.123809523809523,2.8502297317601477
3,5.666666666666667,8.809523809523808,2.9680841985233184
4,5.533333333333333,8.980952380952381,2.996823715361379
5,5.533333333333333,8.695238095238095,2.948768911806772
6,5.666666666666667,8.238095238095239,2.870208222079931
7,5.8,8.028571428571428,2.833473385894321
8,5.8,8.028571428571428,2.833473385894321
9,5.8,8.028571428571428,2.833473385894321
10,5.466666666666667,9.552380952380954,3.090692633113321
